UF,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
PR,201504,1223062,3649706,937577,3065066,234236,850137,278375,864024,512611,1714161
PR,201505,1233379,3671319,941084,3071077,232866,842768,276550,855469,509416,1698237
PR,201506,1240829,3686162,942692,3071873,230763,832799,272794,840796,503557,1673595
PR,201507,1198290,3548555,901792,2933538,215813,775867,257533,790319,473346,1566186
PR,201508,1209854,3575973,906183,2943660,214641,769082,254705,778295,469346,1547377
PR,201509,1218891,3596647,910151,2952532,214376,766469,253140,770955,467516,1537424
PR,201510,1227090,3614725,913621,2959427,214222,764274,251834,764476,466056,1528750
PR,201511,1233967,3629909,915956,2963912,214019,762375,250599,759377,464618,1521752
PR,201512,1243316,3651244,920000,2972377,213904,760589,251377,759742,465281,1520331
PR,201601,1160607,3440970,894445,2903881,199983,714231,227814,705620,427797,1419851
PR,201602,1168316,3458978,898469,2913626,200116,714306,229890,711139,430006,1425445
PR,201603,1180459,3488816,905688,2932027,200605,714454,232885,718774,433490,1433228
PR,201604,1195174,3524046,914601,2954663,201095,714457,236352,726917,437447,1441374
PR,201605,1204909,3547576,920614,2969667,201587,714932,238807,732320,440394,1447252
PR,201606,1216118,3572989,925552,2980928,216375,771883,257429,798380,473804,1570263
PR,201607,1230571,3607368,932373,2998015,215929,768192,258833,799860,474762,1568052
PR,201608,1241045,3631600,936013,3006248,200139,703787,240679,730954,440818,1434741
PR,201609,1249707,3651642,874601,2840903,199637,700421,240717,729383,440354,1429804
PR,201610,1259602,3673912,874631,2839336,199149,696328,240453,725446,439602,1421774
PR,201611,1266365,3689334,874940,2839641,199303,695727,240154,722328,439457,1418055
PR,201612,1187275,3476763,814500,2657793,186021,649634,226101,682106,412122,1331740
PR,201701,1193304,3490880,906449,2905016,198583,700364,246819,753735,445402,1454099
PR,201702,1203982,3517220,912863,2922004,198907,700327,250429,764170,449336,1464497
PR,201703,1216765,3548740,920658,2942753,199878,702247,254150,774282,454028,1476529
PR,201704,1233108,3586568,929713,2965242,200292,701809,258250,784486,458542,1486295
PR,201705,1246158,3615338,936439,2980561,200438,700337,260745,788800,461183,1489137
PR,201706,1256390,3636171,941559,2990535,200178,696452,260712,784291,460890,1480743
PR,201707,1268403,3660590,947286,3001579,200460,695450,262851,787066,463311,1482516
PR,201708,1281759,3689053,953467,3015379,200940,695299,265050,791176,465990,1486475
PR,201709,1136425,3262575,844438,2667784,178315,616561,247920,742833,426235,1359394
PR,201710,1159569,3312752,855512,2695226,179143,617738,253142,755587,432285,1373325
PR,201711,1179609,3355314,864358,2717188,179917,619333,257224,765279,437141,1384612
PR,201712,1202206,3402438,873492,2739058,180594,620437,261129,773727,441723,1394164
PR,201801,1214632,3428380,883435,2765283,180771,619882,262953,776580,443724,1396462
PR,201802,1227973,3458528,890341,2781671,181099,619662,266604,785215,447703,1404877
PR,201803,1182048,3320611,852582,2657232,169905,578971,260139,764601,430044,1343572
PR,201804,1199378,3360224,862119,2680398,170757,580473,264463,774258,435220,1354731
PR,201805,1219663,3406929,872726,2706804,171301,580942,269836,786996,441137,1367938
PR,201806,1232457,3435004,878451,2719583,171622,580825,271621,789256,443243,1370081
PR,201807,1244767,3461164,885078,2733933,177375,600106,278135,807569,455510,1407675
PR,201808,1154679,3192280,823534,2530083,168730,569495,274936,797704,443666,1367199
PR,201809,1176071,3239698,834805,2557400,169815,571583,277766,801133,447581,1372716
PR,201810,1201737,3296974,847795,2589215,166326,557978,277619,792552,443945,1350530
PR,201811,1221053,3336136,855337,2605844,166503,557598,279246,792909,445749,1350507
PR,201812,1177125,3195875,818304,2486057,156220,523238,272227,773102,428447,1296340
PR,201901,1192062,3228848,832994,2528751,160564,537346,278891,794382,439455,1331728
PR,201902,1209262,3269518,842276,2551730,161381,539030,282944,803258,444325,1342288
PR,201903,1224916,3305961,850997,2573248,162147,540535,285867,808184,448014,1348719
PR,201904,1214066,3273999,840467,2540204,157791,525299,283839,802468,441630,1327767
PR,201905,1230897,3312233,850013,2563645,158519,526543,287859,811102,446378,1337645
PR,201906,1247642,3350096,859455,2587020,159381,528655,291894,819349,451275,1348004
PR,201907,1262037,3381323,866958,2604946,160081,530387,294083,822715,454164,1353102
PR,201908,1280388,3420251,874263,2621793,160661,530885,296247,825075,456908,1355960
PR,201909,1216338,3216432,823070,2452122,150649,496879,289756,805919,440405,1302798
PR,201910,1237484,3266413,834857,2482880,151809,499414,294076,815586,445885,1315000
PR,201911,1253488,3304828,843516,2505876,152599,501032,297476,823715,450075,1324747
PR,201912,1268294,3339554,851111,2525650,153375,502998,300275,829628,453650,1332626
PR,202001,1275361,3355612,871726,2578911,153768,504068,301647,832833,455415,1336901
PR,202002,1227734,3218177,839548,2483632,149261,489268,299623,827642,448884,1316910
PR,202003,1245352,3260515,851674,2509534,150278,492098,302524,834171,452802,1326269
PR,202004,1251960,3275214,856390,2520735,150873,493360,304940,839680,455813,1333040
PR,202005,1265920,3306540,868584,2549182,152525,497107,310844,852457,463369,1349564
PR,202006,1283687,3347194,883311,2584083,154475,501913,317125,865413,471600,1367326
PR,202007,1297119,3376582,894120,2608815,155772,504954,321985,875029,477757,1379983
PR,202008,1312909,3411685,905619,2635657,157115,507918,326922,885066,484037,1392984
PR,202009,1323189,3433765,913054,2652365,157917,509572,329860,890450,487777,1400022
PR,202010,1336860,3463251,922457,2673664,158962,511400,333543,897282,492505,1408682
PR,202011,1280110,3311015,888520,2570468,152591,490792,327294,881644,479885,1372436
PR,202012,1291139,3336116,895823,2587799,153505,492799,330104,887497,483609,1380296
RJ,201401,1577731,4853763,1433270,4613328,353447,1227872,769659,2458785,1123106,3686657
RJ,201402,1589271,4875807,1440410,4627179,353776,1226883,771454,2458418,1125230,3685301
RJ,201403,1603251,4902066,1448723,4643371,354240,1225350,772283,2454171,1126523,3679521
RJ,201404,1615590,4925741,1456674,4659309,354838,1224411,773794,2452448,1128632,3676859
RJ,201405,1624905,4943045,1462577,4670767,347142,1189208,821639,2608833,1168781,3798041
RJ,201406,1640988,4973557,1473012,4691302,348532,1190591,824418,2609216,1172950,3799807
RJ,201407,1655356,5002516,1482534,4711579,350160,1193886,827920,2613313,1178080,3807199
RJ,201408,1675309,5044952,1496087,4742408,352943,1200385,832487,2619152,1185430,3819537
RJ,201409,1687209,5057729,1503950,4748043,354909,1201408,833129,2610452,1188038,3811860
RJ,201410,1702921,5103830,1514194,4783498,357488,1211902,836039,2618013,1193527,3829915
RJ,201411,1715496,5130416,1522267,4801917,359433,1216681,838363,2620419,1197796,3837100
RJ,201412,1725278,5150965,1528241,4815340,360823,1220061,838573,2616817,1199396,3836878
RJ,201501,1557284,4601626,1378707,4309967,293221,992773,769385,2378715,1062606,3371488
RJ,201502,1566945,4622214,1384815,4324318,294975,997269,770609,2379716,1065584,3376985
RJ,201503,1578761,4647200,1391736,4340721,296846,1001595,771417,2378341,1068263,3379936
RJ,201504,1589908,4671637,1398947,4358105,298312,1004802,773276,2380229,1071588,3385031
RJ,201505,1603582,4701652,1407898,4379858,299679,1007774,776196,2384134,1075875,3391908
RJ,201506,1613586,4721049,1412544,4389099,300171,1007025,772639,2367731,1072810,3374756
RJ,201507,1544101,4501844,1344232,4169103,280147,935810,731989,2235590,1012136,3171400
RJ,201508,1559283,4535539,1351824,4188700,282076,940088,728511,2219774,1010587,3159862
RJ,201509,1570834,4560142,1358111,4203690,284512,945958,725408,2206353,1009920,3152311
RJ,201510,1581364,4582500,1363625,4216930,287028,952448,722415,2193850,1009443,3146298
RJ,201511,1592604,4606613,1370296,4232732,288909,956910,722745,2191698,1011654,3148608
RJ,201512,1604720,4631329,1376914,4247796,290731,961139,722667,2187620,1013398,3148759
RJ,201601,1525313,4423830,1332591,4114754,274129,909060,687978,2094847,962107,3003907
RJ,201602,1533927,4441840,1337492,4126200,274808,910915,690569,2100240,965377,3011155
RJ,201603,1547689,4471721,1346206,4147273,275021,910760,696801,2115407,971822,3026167
RJ,201604,1565907,4511260,1358080,4176022,275335,910629,705804,2137236,981139,3047865
RJ,201605,1581872,4546735,1368256,4201683,276002,911460,713024,2156194,989026,3067654
RJ,201606,1597105,4577918,1375249,4218101,278709,930111,745772,2264731,1024481,3194842
RJ,201607,1615052,4616972,1385195,4242788,279079,928518,748730,2269928,1027809,3198446
RJ,201608,1625658,4638658,1390674,4255117,277403,909261,716809,2157648,994212,3066909
RJ,201609,1636640,4664253,1356292,4176622,278038,909812,719304,2163225,997342,3073037
RJ,201610,1650096,4692915,1362157,4189600,279160,910925,719163,2155771,998323,3066696
RJ,201611,1657654,4708224,1364912,4195356,280193,912806,717625,2147099,997818,3059905
RJ,201612,1541366,4404885,1270551,3922476,260043,848409,679376,2034389,939419,2882798
RJ,201701,1549882,4422786,1332864,4070040,258398,854491,716518,2153633,974916,3008124
RJ,201702,1560055,4443806,1340703,4087086,258859,854420,722244,2166538,981103,3020958
RJ,201703,1570714,4466759,1349052,4105940,259527,855106,728421,2181052,987948,3036158
RJ,201704,1588019,4503173,1362961,4136720,260209,854658,739465,2207187,999674,3061845
RJ,201705,1603149,4534072,1374483,4161360,260763,854289,747221,2223070,1007984,3077359
RJ,201706,1617605,4560481,1384818,4180541,261222,852299,750112,2221543,1011334,3073842
RJ,201707,1640977,4602368,1398267,4207569,262120,851763,757681,2235419,1019801,3087182
RJ,201708,1664134,4645169,1412191,4236374,263480,852979,765937,2251877,1029417,3104856
RJ,201709,1481212,4117689,1254422,3754686,225798,727268,710822,2090309,936620,2817577
RJ,201710,1523507,4199233,1282034,3815189,228201,730771,730156,2133460,958357,2864231
RJ,201711,1555521,4259595,1301496,3858109,229120,731000,745020,2167406,974140,2898406
RJ,201712,1593909,4325025,1318872,3896336,229098,728967,757449,2195282,986547,2924249
