UF,anomes,ibge,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
AM,201505,8073418,577160,2050231,531427,1980274,98258,368840.0,352117.0,1361017.0,450375.0,1729857.0
AM,201506,8073418,579444,2056239,532512,1983956,99104,373282.0,348651.0,1346124.0,447755.0,1719406.0
AM,201507,8073418,561876,2006600,516764,1935160,96148,367394.0,334465.0,1292673.0,430613.0,1660067.0
AM,201508,8073418,565664,2017589,518891,1943031,97455,373275.0,332366.0,1283870.0,429821.0,1657145.0
AM,201509,8073418,568484,2025300,520509,1948605,98487,377364.0,331245.0,1279202.0,429732.0,1656566.0
AM,201510,8073418,571414,2033107,522221,1954278,99589,381658.0,330684.0,1276384.0,430273.0,1658042.0
AM,201511,8073418,574220,2039975,523965,1959415,100255,383931.0,331371.0,1278170.0,431626.0,1662101.0
AM,201512,8073418,577613,2049073,526142,1966485,100816,385886.0,332599.0,1282534.0,433415.0,1668420.0
AM,201601,8073418,554409,1989762,511131,1923431,96378,372824.0,320637.0,1249767.0,417015.0,1622591.0
AM,201602,8073418,557340,1997025,513222,1929465,96198,371620.0,323082.0,1257987.0,419280.0,1629607.0
AM,201603,8073418,561862,2008654,516765,1939666,95598,368599.0,327010.0,1270988.0,422608.0,1639587.0
AM,201604,8073418,567429,2022949,521395,1952647,95092,366252.0,331729.0,1285571.0,426821.0,1651823.0
AM,201605,8073418,571582,2033665,524806,1962253,94931,365172.0,335237.0,1296338.0,430168.0,1661510.0
AM,201606,8073418,576138,2044452,527924,1970687,94325,362899.0,348421.0,1346549.0,442746.0,1709448.0
AM,201607,8073418,581605,2057840,531803,1981532,94379,362980.0,350735.0,1352210.0,445114.0,1715190.0
AM,201608,8073418,585516,2067397,534715,1989568,95474,366540.0,340062.0,1307053.0,435536.0,1673593.0
AM,201609,8073418,589328,2076299,529148,1977131,95769,367288.0,341897.0,1311524.0,437666.0,1678812.0
AM,201610,8073418,593977,2088164,531913,1985457,96252,369015.0,342523.0,1311443.0,438775.0,1680458.0
AM,201611,8073418,596866,2095255,533305,1989756,96934,371286.0,342208.0,1309604.0,439142.0,1680890.0
